longitude	time	latitude	msl
-50.359681470632765	2017-09-20 12:00:00	18.2	101517.74998605209
-48.546188010650035	2017-09-20 12:00:00	18.2	101486.64734278555
-48.14115658826395	2017-09-20 12:00:00	18.2	101468.64786955064
-47.79104471509182	2017-09-20 12:00:00	18.2	101453.69440059584
-47.587921387611665	2017-09-20 12:00:00	18.2	101445.43012099616
-47.01325252136964	2017-09-20 12:00:00	18.2	101418.88605650143
-46.747091002329476	2017-09-20 12:00:00	18.2	101403.65638424875
-46.728452819024106	2017-09-20 12:00:00	18.2	101402.71620438964
-45.53023194805856	2017-09-20 12:00:00	18.2	101383.79971261995
-44.53939279232737	2017-09-20 12:00:00	18.2	101470.12028892578
-44.453168305539556	2017-09-20 12:00:00	18.2	101479.30874991848
-44.24409739781661	2017-09-20 12:00:00	18.2	101500.6833292798
-44.098142761005654	2017-09-20 12:00:00	18.2	101514.87559327671
-43.85390549244365	2017-09-20 12:00:00	18.2	101537.64760765922
-43.812220725268524	2017-09-20 12:00:00	18.2	101541.42216332693
-43.68112587165222	2017-09-20 12:00:00	18.2	101550.09316859682
-43.57749777441755	2017-09-20 12:00:00	18.2	101554.66252000927
-43.512463858390525	2017-09-20 12:00:00	18.2	101557.5301092441
-43.46068366984401	2017-09-20 12:00:00	18.2	101559.49163520672
-43.18437149954167	2017-09-20 12:00:00	18.2	101571.99266555635
-42.990979796228174	2017-09-20 12:00:00	18.2	101586.32287641637
-42.788915159106246	2017-09-20 12:00:00	18.2	101596.77593267549
-42.064556094270316	2017-09-20 12:00:00	18.2	101638.59690976696
-41.79293504214373	2017-09-20 12:00:00	18.2	101636.0655450208
-41.182402238743485	2017-09-20 12:00:00	18.2	101627.91359459465
-40.80118804996798	2017-09-20 12:00:00	18.2	101633.93775165139
-40.58054713861435	2017-09-20 12:00:00	18.2	101641.81770888976
-40.2687115951039	2017-09-20 12:00:00	18.2	101657.91304599128
-39.65121604027774	2017-09-20 12:00:00	18.2	101667.46476635052
-39.609268208165155	2017-09-20 12:00:00	18.2	101668.14117514333
-39.41054764324475	2017-09-20 12:00:00	18.2	101667.23912200038
-39.355798513292065	2017-09-20 12:00:00	18.2	101665.60862447397
-38.860316278216345	2017-09-20 12:00:00	18.2	101643.92893978712
-38.016373524300214	2017-09-20 12:00:00	18.2	101623.98122974658
-37.05052941778012	2017-09-20 12:00:00	18.2	101619.05772366333
-36.95882167216899	2017-09-20 12:00:00	18.2	101616.78110614348
-36.35010763044455	2017-09-20 12:00:00	18.2	101598.27013717614
-36.3189385230724	2017-09-20 12:00:00	18.2	101597.23493319754
-35.39903074278343	2017-09-20 12:00:00	18.2	101572.51475794803
-35.12833084038598	2017-09-20 12:00:00	18.2	101565.64557616242
-34.79894951770843	2017-09-20 12:00:00	18.2	101557.81910698007
-34.5521805655685	2017-09-20 12:00:00	18.2	101552.67637025352
-34.13396774401091	2017-09-20 12:00:00	18.2	101545.73371333053
-34.1290286536928	2017-09-20 12:00:00	18.2	101545.67641988283
-33.65110258235225	2017-09-20 12:00:00	18.2	101541.93792964937
-33.64945949634296	2017-09-20 12:00:00	18.2	101541.93775507149
-33.613548950954744	2017-09-20 12:00:00	18.2	101541.93393957603
-33.318346747675264	2017-09-20 12:00:00	18.2	101542.13531757148
-33.17010496848341	2017-09-20 12:00:00	18.2	101542.2326026942
-32.40045897447751	2017-09-20 12:00:00	18.2	101539.68356729203
